ModesCode;LabelWeb;ActiveLanguage;DescriptionLong;Characteristics;composition;type
25AW213500;HIGHLINE32CZ (BFG);master;"&nbsp;";"HIGHLINE
__Exterior fabric:__ CHAMPION STRETCH - 93.2% Recycled Nylon
6.8% Elastane
__Foam Type:__ LEVIPRENE
__Interior Fabric:__ PRIMALOFT STRETCH - 50% Recycled Polyester
50% PrimaLoft Recycled Polyester
__Body type:__ Long Sleeve Full Suit
__Thickness:__ 3/2mm
__Entry system:__ Horizontal Front Zip
__Seam Detail - Exterior:__ GBS
__Seam Detail - Interior:__ nT Reinforcement Tape and High Stress Point Melco Spot Tape
Glue Details Aqua Alpha - Water Based";93.2% Recycled Nylon, 6.8% Spandex;Chest Zip Wetsuit
25AW213510;ESESSIONS32CZ (GNB0);master;"&nbsp;";"__Collection:__ EVERYDAY SESSIONS
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ PRIMALOFT¨ BIOT WARM - 37% Polyester, 7% Recycled Spandex, 56% PrimaLoft Recycled Polyester
PRIMALOFT¨ BIOT STRETCH - 50% Recycled Polyester, 50% PrimaLoft Recycled Polyester
ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 3/2mm
__Entry:__ Chest zip entry
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Chest Zip Wetsuit
25AW213514;PROL+32BZFLT (BLK);master;"&nbsp;";"PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester
13% Recycled Elastane
__Foam Type:__ FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Body type:__ Long Sleeve Full Suit
__Thickness:__ 3/2mm
__Entry system:__ Back Zip
__Seam Detail - Exterior:__ Flatlock Stitch
__Seam Detail - Interior:__ : High Stress Point Melco Spot Tape
Glue Details Aqua Alpha - Water Based"; 87% Recycled Polyester, 13% Recycled Spandex;Back Zip Wetsuit
25AW243501;MERC SPRING FZ (RQC0);master;"&nbsp;";"__Collection:__ MERCURY
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Long Sleeve Front Zip Springsuit
25AW253501;EDSESS2/2SSSPCZ (GNB0);master;"&nbsp;";"__Collection:__ EVERYDAY SESSIONS
__Exterior fabric:__ REPEATER STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ OCENA NATURAL RUBBER - made from bio-based content and recycled Carbon Black
100% neoprene free
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
__Entry:__ Chest zip entry
GBS [glued and blind stitched] external seams for maximum flexibility and minimal water entry
Interior Seam Detail: nT Reinforcement Tape and High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Short Sleeve Chest Zip Wetsuit
25AW193514;1PROREEFRDTOE (BLK);master;"&nbsp;";"__Collection:__ PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ Limestone based FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ PRIMALOFT STRETCH - 50% Recycled Polyester, 50% PrimaLoft Recycled Polyester
__Thickness:__ 1mm
__Entry:__ Arch Strap
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 87% Recycled Polyester, 13% Recycled Elastane;Round Toe Reef Booties
EQYW303026;2/2 PROL BZ (KVD0);master;"&nbsp;";"__Collection:__ PROLOGUE +
__Exterior fabric:__ ECO STRETCH - 87% Recycled Polyester, 13% Recycled Elastane
__Foam Type:__ Limestone based FREEMAX STRETCH NEOPRENE
__Interior Fabric:__ ECO EXTEND - 100% Recycled Nylon
__Thickness:__ 2mm
__Entry:__ Back zip entry
Flatlock stitched seams - soft, flexible and durable
Interior Seam Detail: High Stress Point Melco Spot Tape
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Short Sleeve Back Zip Springsuit
EQYWP03011;HLPRO IMPCT (KVD0);master;"&nbsp;";"__Collection:__ HIGHLINE PRO IMPACT
__Foam Type:__ Limestone based STRETCH FLIGHT ECO NEOPRENE
Seam Details: Q-Lock seams
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Short John Impact Wetsuit
AQYBP03168;GRENADE (CRE0);master;"&nbsp;";"__Fabric:__ Recycled polyester fabric
__Compartments:__ Dual main compartments 
Back zipped computer compartment 
__Pockets:__ Multiple side pockets 
1 top pocket
__Straps:__ Ergonomic shoulder strap 
Skate strap
__Padding:__ Padded back Panel
__Dimensions:__ 18.5""[H] x 13.3"" [W] x 7.8"" [D] / 47 [H] x 34 [W] x 20 [D] cm
__Volume:__ 32 L capacity
__Branding:__ Front label 
__Other Features:__ Music port";100% Recycled Polyester;Large Surf Backpack
AQYW403008;ED 2/2 LS SP CZ (KVD0);master;"&nbsp;";"__Collection:__ Mongrel Tongue collection
__Fabric:__ Nylon elastane blend fabric
__Neoprene foam:__ STRETCHFLIGHT ECO neoprene
__Seams:__ GBS (glued and blind stitched) seams for maximum flexibility and minimal water entry seams
__Thickness:__ 202mm thickness
__Entry system:__ Chest zip entry system
__Other Features:__ Key loop
AQUA GLUE eco friendly lamination
Recycled yarn";[Main Fabric] 83% Nylon, 17% Elastane;Chest Zip Long Sleeves Springsuit
AQYW803041;ORIGINAL VEST 1 (KVD0);master;"&nbsp;";"Quiksilver Original
__Foam Type:__ Limestone based STRETCH FLIGHT ECO NEOPRENE
__Thickness:__ 1.5mm
Seam Details: Q-Lock seams
Laser cut drain holes
__Glue Details:__ Water-based Aqua Alpha glue for a more eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Neoprene Vest
EQBW103114;ED SESSIONS 3/2 (RQC0);master;"&nbsp;";"__Neoprene:__ STRETCHFLIGHT ECO neoprene
__Lining:__ WARMFLIGHT ECO VELVET zoned thermal lining
__Seams:__ GBS external seams
Zoned taped internal seams
__Entry:__ Back zip entry
__Other:__ Key loop
AQUA GLUE eco friendly lamination
Download [Declaration Of Conformity](https://cdn.napali.app/static/global/certificates/WETSUIT/243_QS_WETSUITS_Declaration_de_conformite_EPI_type_II.pdf)";[Main Fabric] 83% Nylon, 17% Elastane;Back Zip Wetsuit
EQKW503004;22 PRO K SS SP (GZE0);master;"&nbsp;";"__Neoprene:__ Freemax neoprene coupled with STRETCHFLIGHT neoprene
__Seams:__ Flat Lock external seams
__Entry:__ Back zip entry
__Other:__ AQUA GLUE eco friendly lamination";[Main Fabric] 83% Nylon, 17% Elastane;Short Sleeve Back Zip Springsuit
AQBW803009;ED SESSIONS 1.5 (RQC0);master;"&nbsp;";"__Fabric:__ 83% Recycled nylon 17% elastane blend fabric
__Neoprene foam:__ StretchFlight Eco neoprene
__Seams:__ Q-Lock external seams
__Neck:__ Mock neck
__Sleeves:__ Long sleeves
__Closure:__Pullover closure
__Other Features:__ Key loop
Aqua Glue eco friendly lamination
Recycled yarn";[Main Fabric] 83% Recycled Nylon, 17% Elastane;Wetsuit Jacket
EQBFT03890;BASICHOODZIPYTH (KTP0);master;"&nbsp;";"__Fabric:__ Cotton polyester blend fabric
__Neck:__ Hooded neck
__Sleeves:__ Long sleeves
__Pockets:__ Kangaroo pouch pockets";60% Cotton, 40% Polyester;Long Sleeve Pullover Hoodie
EQYKT04391;SLUB ROUNDNECK (KVJ0);master;"&nbsp;";"__Fabric:__ Cotton slub
__Fit:__ Regular fit
Rib collar
Chest embroidery
Quiksilver recycled woven label";[Main Fabric] 100% Cotton;Short Sleeve T-Shirt
EQYKT04391;SLUB ROUNDNECK (WBK0);master;"&nbsp;";"__Fabric:__ Cotton slub
__Fit:__ Regular fit
Rib collar
Chest embroidery
Quiksilver recycled woven label";[Main Fabric] 100% Cotton;Short Sleeve T-Shirt
EQWX403139;RIVA BOTTOM (PKS0);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Cheeky coverage
Small bottom Coverage
All-over print one side
Solid on reverse side
Embroidery on centre back";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Cheeky Coverage Bikini Bottoms
EQWX103080;VENIZA OP (BLC0);master;"&nbsp;";"__Fabric:__ Recycled nylon elastane [170 g/m2]
__Lining:__ Recycled polyester and elastane blend
__Fit:__ Sporty one piece fit
Adjustable straps
Quiksilver HD screenprint on centre front
Removable padding";[Main Fabric] 87% Recycled Nylon, 13% Elastane;One-Piece Swimsuit
EQWX303147;RIVA TOP (GNZ6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Bra fit
Non removable Soft Cup padding
Non adjustable shoulder straps
Reversible top one side
All-over printed design one side, solid colour on the other
Woven label clamped on armhole

";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Bikini Top
EQWX303148;MELLY TOP (KVJ0);master;"&nbsp;";"__Fabric:__ Recycled Nylon Elastane [155 g/m2]
Seersucker texture
__Lining:__ Polyester elastane blend lining
__Fit:__ V band top
Removable padding
Adjustable straps
Quiksilver woven clamp label on left armhole";[Main Fabric] 91% Recycled Nylon, 9% Elastane;Bikini Top
EQWX403135;CLICKITY CLACK  (CMK3);master;"&nbsp;";"__Fabric:__ Recycled polyester Elastane [260 g/m2]
__Lining:__ Polyester elastane blend lining
__Shape:__ Tie-side shape
Adjustable tie sides
Striped yarn-dyed
Embroidery on centre back";[Main Fabric] 91% Recycled Polyester, 9% Elastane;Tie Side Bikini Bottoms
EQWX403140;MELLY BOTTOM (KVJ0);master;"&nbsp;";"__Fabric:__ Recycled Nylon Elastane [155 g/m2]
Seersucker texture
__Lining:__ Polyester elastane blend lining
__Fit:__ High waist
Full coverage bottoms
Embroidery on centre back";[Main Fabric] 91% Recycled Nylon, 9% Elastane;High Rise Bikini Bottoms
EQWX303144;COBIDJI TOP (WEG6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Brassiere fit
Removable soft cup padding
Adjustable back closure [3 sizes] 
All-over printed design
Quiksilver clamp label on chest

";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Bikini Top
EQWX403138;VIACHA BOTTOM (KVJ6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Cheeky coverage
Small bottom Coverage
All-over print one side
Solid on reverse side
Logo embroidery on left hip

";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Cheeky Coverage Bikini Bottoms
EQWX303146;VIACHA TOP (KVJ6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Mini bra top fit
Reversible top
Non removable Soft Cup padding
Non-adjustable shoulder straps
Front cup dart for bust fitting
All-over print one side
Solid on reverse side
Logo embroidery at middle back

";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Bikini Top
EQWX103079;AITON ONE PIECE (GCC6);master;"&nbsp;";"__Fabric:__ Recycled nylon elastane [170 g/m2]
__Lining:__ Recycled polyester and elastane blend
__Fit:__ Op triangle fit
Removable padding
Crossed back and adjustable straps
Plunging neckline on back
All-over printed design
Logo embroidery at middle back";[Main Fabric] 87% Recycled Nylon, 13% Elastane;One-Piece Swimsuit
EQWX403136;COBIDJI BOTTOM (GCC6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Mid rise pant
Full bum coverage
All-over printed design
Embroidery on centre back";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Full Coverage Bikini Bottoms
EQWX403136;COBIDJI BOTTOM (WEG6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Mid rise pant
Full bum coverage
All-over printed design
Embroidery on centre back";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Full Coverage Bikini Bottoms
EQWX403137;CHAMPION SOUND  (BJK6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Classic fit
Full coverage bottoms
All-over printed design
Embroidery on centre back";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Bikini Bottoms
EQWX303144;COBIDJI TOP (GCC6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Brassiere fit
Removable soft cup padding
Adjustable back closure [3 sizes] 
All-over printed design
Quiksilver clamp label on chest

";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Bikini Top
EQWX303143;CLICKITY CLACK  (CMK3);master;"&nbsp;";"__Fabric:__ Recycled polyester Elastane [260 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Classic triangle fit
Removable soft cup padding
Adjustable crossover back tie
Striped yarn-dyed
Quiksilver clamp label on chest

";[Main Fabric] 91% Recycled Polyester, 9% Elastane;Triangle Bikini Top
EQWX103079;AITON ONE PIECE (WEG6);master;"&nbsp;";"__Fabric:__ Recycled nylon elastane [170 g/m2]
__Lining:__ Recycled polyester and elastane blend
__Fit:__ Op triangle fit
Removable padding
Crossed back and adjustable straps
Plunging neckline on back
All-over printed design
Logo embroidery at middle back";[Main Fabric] 87% Recycled Nylon, 13% Elastane;One-Piece Swimsuit
EQWX303145;CHAMPION SOUND  (BJK6);master;"&nbsp;";"__Fabric:__ Butter base recycled nylon elastane [170 g/m2]
__Lining:__ Polyester elastane blend lining
__Fit:__ Classic bralette fit
Removable soft cup padding
Adjustable shoulder straps
Adjustable back closure [3 sizes] 
Removable back straps
Front cup dart for bust fitting
All-over printed design
Logo embroidery at the front chest

";[Main Fabric] 87% Recycled Nylon, 13% Elastane;Bralette Bikini Top
EQYJV04203;EVD CLICKER VL (KVJ0);master;"&nbsp;";"__Use:__ Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ No
__Waist:__ Elasticated waistband
__Outseam:__ 17"" outseam
__Closure:__Waisted Drawcord
__Pockets:__ Side-entry pockets
Back patch pocket
Iconic Clicker logo screen printed vertically on the left side panel
Key bungee cord inside pocket";[Main Fabric] 100% Recycled Polyester;Swim Shorts
EQYJV04127;EVERYDAY (YKM0);master;"&nbsp;";"__Coating:__ PFC FREE HYDROPHOBIC TREATMENT
__Fabric:__ Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste
a step closer to circular manufacturing
__Fit:__ Straight Leg
__Outseams:__ 15"" outseam
__Waist And Closure:__ Classic Comfort Waistband
Fixed drawcord closure
__Fly:__ No fly
__Zips And Pockets:__ Side-entry pockets, Back Hook and loop tape pocket
__Additional Details:__ Iconic Mountain and Wave Logo
Key bungee cord inside pocket
Recycled yarn
";[Main Fabric] 95% Recycled Polyester, 5% Elastane;Swim Shorts
EQYBS04897;EVERYDAY (KTP6);master;"&nbsp;";"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";[Main Fabric] 100% Recycled Polyester;Swim Shorts
EQYJV04127;EVERYDAY (BLC0);master;"&nbsp;";"__Coating:__ PFC FREE HYDROPHOBIC TREATMENT
__Fabric:__ Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste
a step closer to circular manufacturing
__Fit:__ Straight Leg
__Outseams:__ 15"" outseam
__Waist And Closure:__ Classic Comfort Waistband
Fixed drawcord closure
__Fly:__ No fly
__Zips And Pockets:__ Side-entry pockets, Back Hook and loop tape pocket
__Additional Details:__ Iconic Mountain and Wave Logo
Key bungee cord inside pocket
Recycled yarn
";[Main Fabric] 95% Recycled Polyester, 5% Elastane;Swim Shorts
EQYBS04897;EVERYDAY (BJK0);master;"&nbsp;";"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";[Main Fabric] 100% Recycled Polyester;Swim Shorts
EQBJV03513;DELUXE (NJZ0);master;"&nbsp;";"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
__Waist:__ Elastic waist
__Closure:__ Drawcord closure
__Pockets:__ Side pockets 
__Outseams:__ 14"" outseam, short length
__Branding:__ Quiksilver patch logo on leg";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Swim Shorts
EQYBS04897;EVERYDAY (KVJ6);master;"&nbsp;";"__Fabric:__ 100% Recycled polyester fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit
__Waist:__ Semi elasticated comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ Functional velcro fly
__Outseams:__ 16"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape closure pocket
__Branding:__ Iconic mountain and wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
* Each garment may vary in appearance due to specialty wash.";[Main Fabric] 100% Recycled Polyester;Swim Shorts
EQYJV04221;EVERYDAY (CRE6);master;"&nbsp;";"__Use:__ Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ No
__Waist:__ Elasticated waistband
__Outseam:__ 16"" outseam
__Closure:__Waisted Drawcord
__Pockets:__ Side-entry pockets
Back patch pocket
Iconic Mountain and Wave logo";[Main Fabric] 100% Recycled Polyester;Swim Shorts
EQYJV04101;DELUXE 15 (KTP0);master;"&nbsp;";"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Swim Shorts
EQYJV04101;DELUXE 15 (GRT0);master;"&nbsp;";"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Swim Shorts
EQYJV04101;DELUXE 15 (NJZ0);master;"&nbsp;";"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Swim Shorts
EQBBS03742;EVD HALFJAM (KTP7);master;"&nbsp;";"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 17"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";[Main Fabric] 100% Recycled Polyester;Boardshorts
EQKBS03433;EVD HALF JAM (KTP7);master;"&nbsp;";"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 13"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";[Main Fabric] 100% Recycled Polyester;Boardshorts
EQBBS03742;EVD HALFJAM (KVJ6);master;"&nbsp;";"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 17"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";[Main Fabric] 100% Recycled Polyester;Boardshorts
EQYJV04221;EVERYDAY (KVJ6);master;"&nbsp;";"__Use:__ Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ No
__Waist:__ Elasticated waistband
__Outseam:__ 16"" outseam
__Closure:__Waisted Drawcord
__Pockets:__ Side-entry pockets
Back patch pocket
Iconic Mountain and Wave logo";[Main Fabric] 100% Recycled Polyester;Swim Shorts
EQYJV04101;DELUXE 15 (RQZ0);master;"&nbsp;";"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Swim Shorts
EQYJV04101;DELUXE 15 (GNZ0);master;"&nbsp;";"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Swim Shorts
EQYJV04101;DELUXE 15 (BJK0);master;"&nbsp;";"__Fabric:__ 70% Recycled polyester 30% polyester blend fabric
Remade Supersuede: Keep the performance level high and the carbon footprint low
This product was made from production scraps and retired textile waste, a step closer to circular manufacturing
__Waterproofing:__ Water repellent
__Coating:__  PFC free hydrophobic treatment
__Fit:__ Straight leg fit 
__Waist:__ Classic comfort waistband
__Closure:__ Fixed drawcord closure
__Fly:__ No fly
__Outseams:__ 15"" outseam, short length
__Pockets:__ Side-entry pockets
Back hook and loop tape pocket
Draining mesh pockets
__Branding:__ Iconic mountain & wave logo
__Other Features:__ Timeless Style
Key bungee cord inside pocket
Recycled yarn
Made Better";[Main Fabric] 70% Recycled Polyester, 30% Polyester;Swim Shorts
EQKBS03433;EVD HALF JAM (KVJ6);master;"&nbsp;";"__Use:__ Surfing, Beach
BENEFITS
Durable. Comfortable. Quick-drying
MADE BETTER
Made with 45% recycled polyester fibres from textile waste and 45% from plastic bottles
PFC Free durable water repellent treatment
__Fabric:__ Everyday Fabric, Recycled polyester [125 g/m2]
FEATURES
__Fit:__ Straight leg fit
Timeless style
__Fly:__ Performance
__Waist:__ Semi elasticated
__Outseam:__ 13"" outseam
__Closure:__Drawcord
Hook and loop closure
__Pockets:__ Side-entry pockets
Back pocket with flap
Iconic Mountain and Wave logo
Key bungee cord inside pocket";[Main Fabric] 100% Recycled Polyester;Boardshorts
